50_67, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,316,317,330,336,340,355,1,316,329,334,338,345,1,317,317,317,317,319,1,316,316,316,316,318,1
4,293,293,293,293,293,293,1,293,293,293,293,293,1,293,293,293,293,295,1,293,293,293,293,294,1
8,293,293,293,293,293,293,1,293,293,293,293,293,1,293,293,293,293,295,1,293,293,293,293,295,1
16,293,293,293,293,293,293,1,293,293,293,293,293,1,293,293,293,293,295,1,293,293,293,293,295,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0067.stg
# Precedence constraints generator : samepred
#   Random Seed       : 29018
#   Tasks             : 50 (+dummy tasks : 2)
#   Edges             : 545 / 1225 (+dummy edges : 4)
#   Max. Predecessors : 23
#   Min. Predecessors : 0
#   Ave. Predecessors : 11.000000 (Real : 10.900000)
# Task processing time generator : unifproc
#   Random Seed       : 29017
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.860000)
# CP Length           : 293
# Parallelism         : 1.853242
